;molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_five_conform
252;CHEMBL1099290;nM;25.0;CCn1c(nc2c(nc(CN(C)C)cc12)C#CC(C)(C)O)c3nonc3N;7.602059991327962;369.19132297600004;9;2;1.2673999999999996;yes
253;CHEMBL1099296;nM;25.0;CCn1c(nc2c(nc(O[C@H](CN)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N;7.602059991327962;447.20188766000007;10;3;2.2845999999999997;yes
254;CHEMBL597803;nM;25.0;CN(Cc1ccc(Cl)cc1)C(=O)C2(N)CCN(CC2)c3ncnc4[nH]ccc34;7.602059991327962;398.1621870360001;5;2;2.5676000000000005;yes
255;CHEMBL598448;nM;25.0;NC1(Cc2cccc3ccccc23)CCN(CC1)c4ncnc5[nH]ccc45;7.602059991327962;357.1953457360001;4;2;3.651500000000002;yes
258;CHEMBL597211;nM;27.0;CC(C)(C)c1ccc(CC2(N)CCN(CC2)c3ncnc4[nH]ccc34)cc1;7.568636235841013;363.24229592800003;4;2;3.7958000000000025;yes
259;CHEMBL228700;nM;27.0;CN(C)CCNC(=O)c1c[nH]c(\C=C\2/C(=O)Nc3ccc(NC(=O)N)cc23)c1;7.568636235841013;382.175338564;4;5;1.2894000000000005;yes
262;CHEMBL3703157;nM;28.0;NC(=O)c1cc(Cl)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1;7.552841968657781;416.14038897200004;4;2;4.758500000000002;yes
263;CHEMBL599848;nM;29.0;NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(OC(F)(F)F)cc4;7.5376020021010435;434.16780857199996;6;3;2.4706;yes
264;CHEMBL2177370;nM;29.0;C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H]([C@@H]4COCCN4)c5ccc(Cl)cc5)c12;7.5376020021010435;471.2037175;7;2;2.0914;yes
265;CHEMBL388184;nM;29.0;NC(=O)Nc1ccc2NC(=O)\C(=C/c3cc(c[nH]3)C(=O)NCCN4CCOCC4)\c2c1;7.5376020021010435;424.185903248;5;5;1.06;yes
266;CHEMBL3703113;nM;29.0;NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)C(=O)O;7.5376020021010435;383.163376912;4;2;4.704400000000003;yes
267;CHEMBL379300;nM;30.0;Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3;7.522878745280337;397.19026035600007;4;3;4.363420000000001;yes
268;CHEMBL2325996;nM;30.0;NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCN4CCCCC4)c5ccc(Cl)cc5;7.522878745280337;509.26698645199997;6;3;4.032600000000003;yes
269;CHEMBL2177831;nM;30.0;Nc1ncccc1c2nc3cc(cnc3n2c4ccc(CNC(=O)c5ccccc5)cc4)c6cccnc6;7.522878745280337;497.196408356;7;2;5.056700000000004;yes
270;CHEMBL2177371;nM;30.0;C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CN)c4ccc(cc4)C(F)(F)F)c12;7.522878745280337;449.203859732;6;2;2.427100000000001;yes
271;CHEMBL3703169;nM;30.0;COc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)c6cn[nH]c6;7.522878745280337;435.20591042000007;5;2;5.404900000000005;yes
272;CHEMBL2325983;nM;30.0;NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(C4CC4)c5ccc(Cl)cc5;7.522878745280337;424.1778371;5;3;3.1765000000000017;yes
274;CHEMBL2177365;nM;31.0;CC(C)N(C)C[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4;7.508638306165728;471.24010300799995;6;1;3.443200000000002;yes
275;CHEMBL603262;nM;31.0;CC(C)(C)c1ccc(CC2(N)CCN(CC2)c3ccnc4[nH]ccc34)cc1;7.508638306165728;362.24704696000003;3;2;4.400800000000003;yes
276;CHEMBL2325728;nM;31.0;NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)N[C@@H](CCN4CCCC4)c5ccc(Cl)cc5;7.508638306165728;481.23568632399997;6;3;3.2524000000000015;yes
277;CHEMBL603197;nM;31.0;Cc1n[nH]c2cnc(nc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3c6cocc6;7.508638306165728;465.19132297600004;7;3;4.413420000000002;yes
278;CHEMBL388395;nM;31.0;CN(C)C1CCN(C1)C(=O)c2c[nH]c(\C=C\3/C(=O)Nc4ccc(NC(=O)N)cc34)c2;7.508638306165728;408.190988628;4;4;1.7740999999999996;yes
280;CHEMBL3679633;nM;32.0;NC1(CCC1)c2ccc(cc2)c3nc4C=CC(=N)N(C(=N)c5ccccc5)c4cc3c6ccccc6;7.494850021680094;469.22664586400003;5;3;6.061340000000005;yes
281;CHEMBL2177832;nM;32.0;Nc1ncccc1c2nc3ccc(nc3n2c4ccc(CNC(=O)c5ccccc5)cc4)c6cccnc6;7.494850021680094;497.196408356;7;2;5.056700000000004;yes
283;CHEMBL3699667;nM;33.0;NC1(CCC1)c2ccc(cc2)c3nc4nc(ccn4c3c5ccccc5)c6ccccc6;7.481486060122112;416.200096768;4;1;6.0682000000000045;yes
285;CHEMBL2177375;nM;33.0;C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNCCF)c4ccc(Cl)cc4)c12;7.481486060122112;461.19938106800004;6;2;2.6621000000000006;yes
286;CHEMBL3977365;nM;33.0;COc1nc(Br)cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5;7.481486060122112;448.0898733920001;5;1;5.172300000000004;yes
288;CHEMBL3672074;nM;34.0;COc1nn2cc(c(nc2c1CO)c3ccc(CN4CC(C4)c5n[nH]c(n5)c6cccc(C)n6)cc3)c7c(F)cccc7F;7.468521082957745;594.230328576;9;2;4.9303200000000045;yes
289;CHEMBL3895917;nM;34.0;CCc1cn2c(c3ccccc3)c(nc2c(OC)n1)c4ccc(cc4)C5(N)CCC5;7.468521082957745;398.210661452;5;1;4.9722000000000035;yes
291;CHEMBL3703141;nM;35.0;Cn1cc(cn1)c2ccn3c(c4ccccc4)c(nc3c2)c5ccc(cc5)C6(N)CCC6;7.455931955649724;419.21099580000003;5;1;5.406700000000005;yes
292;CHEMBL2177382;nM;35.0;CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@@H](F)C[C@@H](C)c23)c4ccc(Cl)cc4;7.455931955649724;459.220116512;5;1;4.0782000000000025;yes
294;CHEMBL2177835;nM;35.0;Nc1ncccc1c2nc3ccc(nc3n2c4ccc(CNC(=O)c5ccccc5)cc4)c6ccccc6;7.455931955649724;496.20115938799995;6;2;5.661700000000004;yes
295;CHEMBL597817;nM;35.0;NC1(Cc2ccc(OC(F)(F)F)cc2)CCN(CC1)c3ncnc4[nH]ccc34;7.455931955649724;391.16199492000004;5;2;3.3969000000000014;yes
296;CHEMBL597212;nM;35.0;NC1(Cc2cccc(Cl)c2Cl)CCN(CC1)c3ncnc4[nH]ccc34;7.455931955649724;375.1017509680001;4;2;3.805100000000002;yes
297;CHEMBL2325736;nM;36.0;CS(=O)(=O)NCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4;7.443697499232713;505.16628643600006;7;4;1.7058000000000004;yes
299;CHEMBL600646;nM;36.0;NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccccc4Cl;7.443697499232713;384.146536972;5;3;2.2253999999999996;yes
300;CHEMBL3699774;nM;36.0;Cc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)C(=O)N;7.443697499232713;396.195011388;4;2;4.413520000000003;yes
301;CHEMBL228545;nM;37.0;Cc1cccc(c1)c2c[nH]c(\C=C\3/C(=O)Nc4ccc(NC(=O)N)cc34)c2;7.431798275933005;358.142975816;2;4;3.973420000000001;yes
