,molecule_chembl_id,units,IC50,smiles,pIC50
88,CHEMBL3701733,nM,5.1,COc1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c2c1,8.292429823902063
89,CHEMBL3701730,nM,5.4,NC1(CCC1)c2ccc(cc2)c3nc4c5ccccc5OCn4c3c6ccsc6,8.267606240177031
90,CHEMBL596991,nM,5.5,NC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ccnc4[nH]ccc34,8.259637310505756
91,CHEMBL598206,nM,5.7,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)c(Cl)c4,8.244125144327509
92,CHEMBL228757,nM,6,C\C(=C/1\C(=O)Nc2ccc(NC(=O)N)cc12)\c3cc(CNC(=O)C4CCNCC4)c[nH]3,8.221848749616356
93,CHEMBL447168,nM,6,CN(C)CC(=O)N1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5,8.221848749616356
94,CHEMBL263664,nM,6,NC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ncnc4[nH]ccc34,8.221848749616356
95,CHEMBL2177379,nM,6,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H]([C@@H]4CCCN4)c5ccc(Cl)cc5)c12,8.221848749616356
96,CHEMBL494060,nM,6.0,CCn1c(nc2c(ncc(OCCCNCCc3ccc(OC)cc3)c12)C#CC(C)(C)O)c4nonc4N,8.221848749616356
97,CHEMBL2177387,nM,6,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3CC[C@@H](C=C)c23)c4ccc(Cl)cc4,8.221848749616356
98,CHEMBL228439,nM,6,NC(=O)Nc1ccc2NC(=O)\C(=C/c3cc(c[nH]3)c4cccc(O)c4)\c2c1,8.221848749616356
99,CHEMBL2177368,nM,6,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNCC4CCOCC4)c5ccc(Cl)cc5)c12,8.221848749616356
100,CHEMBL2178598,nM,6,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC(C)(C)CO)c4ccc(c(F)c4)C(F)(F)F)c12,8.221848749616356
101,CHEMBL2177388,nM,6,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3CC[C@@H](CF)c23)c4ccc(Cl)cc4,8.221848749616356
